,title,text,label
3029,"The Department of Health announced new measures to deal with coronavirus patients as those with the virus can now be forcibly quarantined and will not be free to leave, and can be forcibly sent into isolation if they pose a threat to public health","The Department of Health announced new measures to deal with coronavirus patients as those with the virus can now be forcibly quarantined and will not be free to leave, and can be forcibly sent into isolation if they pose a threat to public health",FAKE
3034,Trump proposes 21% cut in U.S. foreign aid in budget proposal while seeking an increase in funds to counter developing economic threats from China & Russia -,Trump proposes 21% cut in U.S. foreign aid in budget proposal while seeking an increase in funds to counter developing economic threats from China & Russia -,FAKE
3036,Thieves in Madrid pretending to be doctors to steal in people’s houses,Thieves in Madrid pretending to be doctors to steal in people’s houses,FAKE
3038,The Italian department of civil protection has communicated that since the 16h of March there is the possibilty that will be introduce the bio-containment BSL-4,The Italian department of civil protection has communicated that since the 16h of March there is the possibilty that will be introduce the bio-containment BSL-4,FAKE
3040,The Italian Ministry of Interior ruled with a public statment that police will check all the people that will exit from their house,The Italian Ministry of Interior ruled with a public statment that police will check all the people that will exit from their house,FAKE
3044,Tens of thousand Korean asked for expelling Chinese. The anti-Chinese bandwagon swept across the world,Tens of thousand Korean asked for expelling Chinese. The anti-Chinese bandwagon swept across the world,FAKE
3050,You can kill the coronavirus by drinking hot drinks,You can kill the coronavirus by drinking hot drinks,FAKE
3053,Zinc Lozenges was proved as a protection to COVID-19,Zinc Lozenges was proved as a protection to COVID-19,FAKE
3054,Unicef ??advises not to eat ice cream because it reinforces infection with the new coronavirus,Unicef ??advises not to eat ice cream because it reinforces infection with the new coronavirus,FAKE
3058,the @CDCgov  is bullshit as are the @fda and @NIH,the @CDCgov  is bullshit as are the @fda and @NIH,FAKE
3062,Video claiming to show a hotel collapsing in Chinese city of Quanzhou after it was used as a coronavirus quarantine facility,Video claiming to show a hotel collapsing in Chinese city of Quanzhou after it was used as a coronavirus quarantine facility,FAKE
3063,Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19,Video shows reciting Namaaz and Quran can only be the treatment of pandemic COVID-19,FAKE
3064,UNICEF advises a certain set of steps to follow for coronavirus,UNICEF advises a certain set of steps to follow for coronavirus,FAKE
3079,The earliest case became ill on 1 December and had no reported link to the seafood market,The earliest case became ill on 1 December and had no reported link to the seafood market,U
3081,This Lysol desinfectant against coronavirus shows the virus is not new,This Lysol desinfectant against coronavirus shows the virus is not new,FAKE
3094,The Department of Health (DOH) reports that fake cigarettes that spread coronavirus have reached the Philippines,The Department of Health (DOH) reports that fake cigarettes that spread coronavirus have reached the Philippines,FAKE
3098,"The new number of 2,048 cases being reported Monday for the previous 24 hours came after three days of declines, but it was up by just 29 cases from the previous day’s figure","The new number of 2,048 cases being reported Monday for the previous 24 hours came after three days of declines, but it was up by just 29 cases from the previous day’s figure",U
3099,The total number of people infected with COVID-19 on the ship rose to 355 on Sunday. The infected Indians have been sent to medical facilities for further treatment and quarantine,The total number of people infected with COVID-19 on the ship rose to 355 on Sunday. The infected Indians have been sent to medical facilities for further treatment and quarantine,U
3100,This laboratory is giving money to people who would agree to be infected with the coronavirus SARS-CoV-2,This laboratory is giving money to people who would agree to be infected with the coronavirus SARS-CoV-2,FAKE
3103,"U.S. to evacuate consulate staff, citizens from Wuhan","U.S. to evacuate consulate staff, citizens from Wuhan",U
3104,This photo purports to show the novel coronavirus,This photo purports to show the novel coronavirus,FAKE
3113,"The mayor of Buga, Valle del Cauca, said: “I invite the people of Buga to keep calm and to live each day as if it was the last”","The mayor of Buga, Valle del Cauca, said: “I invite the people of Buga to keep calm and to live each day as if it was the last”",FAKE
3119,"The only “declared�?Virology Lab in China is in Wuhan. Top biologists were skeptical of the lab when it was built in 2017 and were worried that testing SARS, MERS, and biological weapons on animals there might be problematic�?,,Kyle Bass,11:30 PM · Jan 24","The only “declared�?Virology Lab in China is in Wuhan. Top biologists were skeptical of the lab when it was built in 2017 and were worried that testing SARS, MERS, and biological weapons on animals there might be problematic�?,,Kyle Bass,11:30 PM · Jan 24",U
3122,Telangana Ministry in India distributed homeopathic tablets claimed to prevent COVID-19,Telangana Ministry in India distributed homeopathic tablets claimed to prevent COVID-19,FAKE
3126,"The first chartered flight carrying passengers from Wuhan who wished to return to Japan has arrived at Haneda Airport, according to @nhk_news  �?,,Tomoaki Ishigaki 石垣友明,7:56 AM · Jan 29","The first chartered flight carrying passengers from Wuhan who wished to return to Japan has arrived at Haneda Airport, according to @nhk_news  �?,,Tomoaki Ishigaki 石垣友明,7:56 AM · Jan 29",U
3131,"TRUMP: “We have it totally under control,�?the president said on Wednesday. “It’s one person coming in from China, and we have it under control.�?,,Mark Stern,5:17 AM · Feb 1","TRUMP: “We have it totally under control,�?the president said on Wednesday. “It’s one person coming in from China, and we have it under control.�?,,Mark Stern,5:17 AM · Feb 1",U
3202,Two local celebrities in Argentine are infected with coronavirus,Two local celebrities in Argentine are infected with coronavirus,FAKE
3222,Work suspension in Ecuador due to coronavirus since Monday 09/03/2020,Work suspension in Ecuador due to coronavirus since Monday 09/03/2020,FAKE
3237,Wilbur Ross: Coronavirus Could ‘Accelerate The Return Of Jobs�?To America  �?,Wilbur Ross: Coronavirus Could ‘Accelerate The Return Of Jobs�?To America  �?,U
3252,Turks are not gonna be infected by COVID-19 due to their genes,Turks are not gonna be infected by COVID-19 due to their genes,FAKE
3255,waking up in Wuhan and finding out you’ve be quarantined in a city larger than New York or Los Angeles with a virus that yesterday “was nothing to worry about.�?,waking up in Wuhan and finding out you’ve be quarantined in a city larger than New York or Los Angeles with a virus that yesterday “was nothing to worry about.�?,FAKE
3258,The Chinese government announced on official document “Garlic is a preventive food for Novel coronavirus.�?,The Chinese government announced on official document “Garlic is a preventive food for Novel coronavirus.�?,FAKE
3260,Wuhan case showed the world how selfish human can be�?,Wuhan case showed the world how selfish human can be�?,TRUE
3262,The Lysol and coronavirus conspiracy: �?019-nCoV is old and there is already a cure to it�?,The Lysol and coronavirus conspiracy: �?019-nCoV is old and there is already a cure to it�?,FAKE
3272,The WHO has decreed the “suspension of any and all medical activities�?,The WHO has decreed the “suspension of any and all medical activities�?,FAKE
3293,Video shows President Donald Trump saying COVID-19 is Democrats�?“new hoax.�?,Video shows President Donald Trump saying COVID-19 is Democrats�?“new hoax.�?,FAKE
3306,Video says “the coronavirus was invented and patented in the USA and then planted in China.�?,Video says “the coronavirus was invented and patented in the USA and then planted in China.�?,FAKE
3321,The same people who don’t wash their legs got the nerve to be worried about coronavirus�?,The same people who don’t wash their legs got the nerve to be worried about coronavirus�?,FAKE
3332,The title of the article states: “The first pregnant woman with coronavirus in Macedonia gave birth.�?,The title of the article states: “The first pregnant woman with coronavirus in Macedonia gave birth.�?,FAKE
3344,"The coronavirus Test Does Costs $3,200","The coronavirus Test Does Costs $3,200",FAKE
3348,Two Chinese nationals in Kenya have been killed after allegedly escaping from quarantine at the Nairobi Airport,Two Chinese nationals in Kenya have been killed after allegedly escaping from quarantine at the Nairobi Airport,FAKE
3350,"The coronavirus outbreak is not actually caused by a virus, but by 5G technology","The coronavirus outbreak is not actually caused by a virus, but by 5G technology",FAKE
3352,There is an anti-Chinese protest in Italy due to COVID-19,There is an anti-Chinese protest in Italy due to COVID-19,FAKE
3354,WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China,WHO Has Issued Advisory Against Buying Of Holi Colors From coronavirus-Hit China,FAKE
3357,UNICEF releases coronavirus prevention guidelines,UNICEF releases coronavirus prevention guidelines,FAKE
3358,"This video shows panic buying in the United States, during the outbreak","This video shows panic buying in the United States, during the outbreak",FAKE
3359,This is a picture of the first Moroccan infected with the virus,This is a picture of the first Moroccan infected with the virus,FAKE
3361,The first dog was infected with coronavirus,The first dog was infected with coronavirus,TRUE
3366,"The Simpsons have predicted the coronavirus pandemic years ago, along with many other predictions","The Simpsons have predicted the coronavirus pandemic years ago, along with many other predictions",FAKE
3373,Videograph shows COVID-19 is more dangerous than former outbreaks,Videograph shows COVID-19 is more dangerous than former outbreaks,FAKE
3379,The Obama administration “didn’t do anything about” swine flu,The Obama administration “didn’t do anything about” swine flu,FAKE
3380,The media group Globo published a photo of the dead of the Lampedusa shipwreck as if it were victims of COVID-19,The media group Globo published a photo of the dead of the Lampedusa shipwreck as if it were victims of COVID-19,FAKE
3388,This photos show Indians bathing in cow dung to prevent infection,This photos show Indians bathing in cow dung to prevent infection,FAKE
3389,Video shows Wuhan residents lining up for death certificates,Video shows Wuhan residents lining up for death certificates,FAKE
3392,The Simpsons have predicted the coronavirus outbreak,The Simpsons have predicted the coronavirus outbreak,FAKE
3393,Vinegar is more effective than alcohol-based hand sanitizers for killing the novel coronavirus,Vinegar is more effective than alcohol-based hand sanitizers for killing the novel coronavirus,FAKE
3397,"Two cases of coronavirus have been reported in Loja, in Ecuador","Two cases of coronavirus have been reported in Loja, in Ecuador",FAKE
3400,This is a video that was suppossedly developed by the Ecuadorean Health Ministry to encourage people to wash constantly their hands,This is a video that was suppossedly developed by the Ecuadorean Health Ministry to encourage people to wash constantly their hands,FAKE
3402,The government — or specific states such as Michigan or Florida — has mandated that employers and schools close for two weeks,The government — or specific states such as Michigan or Florida — has mandated that employers and schools close for two weeks,FAKE
3407,You can’t get infected by kissing the hands of a virgin or saint statue,You can’t get infected by kissing the hands of a virgin or saint statue,FAKE
3415,Turkish raki is prevents COVID-19,Turkish raki is prevents COVID-19,FAKE
3417,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,FAKE
3419,This video shows the Coronavirus dead amassed in the Bergamo (or Brescia) hospital,This video shows the Coronavirus dead amassed in the Bergamo (or Brescia) hospital,FAKE
3421,This photo shows a brothel in Europe where people have been quarantined,This photo shows a brothel in Europe where people have been quarantined,FAKE
3422,These are 7 ‘evil’ things that COVID-19 is ‘afraid’ of,These are 7 ‘evil’ things that COVID-19 is ‘afraid’ of,FAKE
3428,Twitter users said Adutwumwaa Bitters cures coronavirus,Twitter users said Adutwumwaa Bitters cures coronavirus,FAKE
3430,Viral picture message in Nigeria suggests former president Obasanjo said that there is no coronavirus in Nigeria and that the minister of health lied,Viral picture message in Nigeria suggests former president Obasanjo said that there is no coronavirus in Nigeria and that the minister of health lied,FAKE
3433,There are cases of coronavirus in the Amazon forest,There are cases of coronavirus in the Amazon forest,FAKE
3437,VP Pence Urged People With coronavirus To Go To The Police,VP Pence Urged People With coronavirus To Go To The Police,FAKE
3440,The Pope has COVID-19,The Pope has COVID-19,FAKE
3441,Whatsapp message contains multiple health advises,Whatsapp message contains multiple health advises,FAKE
3451,This is a video of alleged panicked shoppers storming a supermarket amid the coronavirus pandemic,This is a video of alleged panicked shoppers storming a supermarket amid the coronavirus pandemic,FAKE
3462,This video has been shot in a mall in Germany during the pandemia,This video has been shot in a mall in Germany during the pandemia,FAKE
3465,Vatican says Pope Francis has been infected with the novel coronavirus,Vatican says Pope Francis has been infected with the novel coronavirus,FAKE
3468,Volcanic ash can kill the coronavirus,Volcanic ash can kill the coronavirus,FAKE
3470,The coronavirus is more dangerous for animals than for humans,The coronavirus is more dangerous for animals than for humans,U
3472,This virus must be old because a bottle of desinfectant from 2015 shows ?coronavirus“,This virus must be old because a bottle of desinfectant from 2015 shows ?coronavirus“,FAKE
3481,Taiwanese president and the former president were infected. The former president died,Taiwanese president and the former president were infected. The former president died,FAKE
3485,The Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,The Vatican confirmed that Pope Francis and two aides tested positive for coronavirus,FAKE
3488,Vitamin helps against CoV,Vitamin helps against CoV,FAKE
3493,Video of a roof full of bats claim to be the source of coronavirus,Video of a roof full of bats claim to be the source of coronavirus,FAKE
3498,"The wife of a Chinese shop owner of Totana (Murcia, Spain) has coronavirus","The wife of a Chinese shop owner of Totana (Murcia, Spain) has coronavirus",FAKE
3500,Video of a person infected with coronavirus being detained by the police,Video of a person infected with coronavirus being detained by the police,FAKE
3502,The wife of a Chinese shop owner of Totana (Murcia) has coronavirus,The wife of a Chinese shop owner of Totana (Murcia) has coronavirus,FAKE
3510,"Video showing Chinese officials detaining infected citizen, who refused to be checked","Video showing Chinese officials detaining infected citizen, who refused to be checked",FAKE
3516,"This video of a person infected with coronavirus being detained by the police is not real, it?s a drill","This video of a person infected with coronavirus being detained by the police is not real, it?s a drill",FAKE
3524,"The cover of a Tintin book titled “Tintin in Wuhan” that shows the character standing in an old Chinese market wearing special suits, while people are wearing masks","The cover of a Tintin book titled “Tintin in Wuhan” that shows the character standing in an old Chinese market wearing special suits, while people are wearing masks",FAKE
3536,Taiwan has severe community transmission. Many people died,Taiwan has severe community transmission. Many people died,FAKE
3537,The outbreak in Taiwan is out of control. President Tsai ordered to burn a corpse in front of the presidential office,The outbreak in Taiwan is out of control. President Tsai ordered to burn a corpse in front of the presidential office,FAKE
3547,There is a confirmed case of coronavirus in a Bogotá hospital,There is a confirmed case of coronavirus in a Bogotá hospital,FAKE
3548,You can maintain the alkaline state of the body to avoid contagion,You can maintain the alkaline state of the body to avoid contagion,FAKE
3552,The new coronavirus was registered in 2004,The new coronavirus was registered in 2004,FAKE
3555,"Two cases confirmed of coronavirus in Huelva, Andalucía (February 26th)","Two cases confirmed of coronavirus in Huelva, Andalucía (February 26th)",FAKE
3570,There is a crowd waiting to greet the Colombians living in Wuhan who are being flown to Bogotá,There is a crowd waiting to greet the Colombians living in Wuhan who are being flown to Bogotá,FAKE
3573,The claim that the book The Eyes of Darkness predict the spread of coronavirus in 1981,The claim that the book The Eyes of Darkness predict the spread of coronavirus in 1981,FAKE
3574,The name coronavirus on disinfecting spray can reaffirms that the virus was known before the outbreak and might be planned,The name coronavirus on disinfecting spray can reaffirms that the virus was known before the outbreak and might be planned,FAKE
3581,The DPP (Democratic Progressive Party) politician Wang Shijian said that Taiwan has more than 500 confirmed cases,The DPP (Democratic Progressive Party) politician Wang Shijian said that Taiwan has more than 500 confirmed cases,FAKE
3582,Vaccine for COVID-19 has been found,Vaccine for COVID-19 has been found,FAKE
3584,The Chinese accept Islam en masse (20 millions),The Chinese accept Islam en masse (20 millions),FAKE
3591,The link between COVID-19 and 5G is being hidden,The link between COVID-19 and 5G is being hidden,FAKE
3597,Taiwanese manufacturing is awesome. One machine can produce 2.5 million face masks per day,Taiwanese manufacturing is awesome. One machine can produce 2.5 million face masks per day,FAKE
3598,"Video shows the suspected infected people in eastern Turkey, Van","Video shows the suspected infected people in eastern Turkey, Van",FAKE
3603,"Years ago, there was a hand sanitizer active against Sars-Cov-2","Years ago, there was a hand sanitizer active against Sars-Cov-2",FAKE
3604,TV news said: Ketamine can cure COVID-19,TV news said: Ketamine can cure COVID-19,FAKE
3608,This is a snow artwork from Wuhan,This is a snow artwork from Wuhan,FAKE
3609,This map shows high sulphur dioxide in Wuhan now due to burning of corpses,This map shows high sulphur dioxide in Wuhan now due to burning of corpses,FAKE
3611,Video showing racist reactions towards Asian people,Video showing racist reactions towards Asian people,FAKE
3612,WHO considers canceling Mecca’s pilgrimage,WHO considers canceling Mecca’s pilgrimage,FAKE
3613,"These charts claim to show the difference among COVID-19, flu, common cold","These charts claim to show the difference among COVID-19, flu, common cold",FAKE
3621,Those are corpses on the street in Wuhan,Those are corpses on the street in Wuhan,FAKE
3628,The drug “arbidol” can help from the new coronavirus,The drug “arbidol” can help from the new coronavirus,FAKE
3631,This video shows corpses on the streets of Wuhan,This video shows corpses on the streets of Wuhan,FAKE
3632,World labs confirm: coronavirus was bioengineered,World labs confirm: coronavirus was bioengineered,FAKE
3639,This is Dr. Li-wen Liang’s funeral ceremony,This is Dr. Li-wen Liang’s funeral ceremony,FAKE
3640,The amount of ACE2 East Asian people have is 4-5 times more than non-East-Asians. That is why they get infected easily,The amount of ACE2 East Asian people have is 4-5 times more than non-East-Asians. That is why they get infected easily,FAKE
3643,This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn’t given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus,This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn’t given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus,FAKE
3644,Video says “the coronavirus was invented and patented in the USA and then planted in China.”,Video says “the coronavirus was invented and patented in the USA and then planted in China.”,FAKE
3647,This map shows the global spread of cov,This map shows the global spread of cov,FAKE
3653,This is a video of the late Chinese doctor Li-wen Liang’s wedding party,This is a video of the late Chinese doctor Li-wen Liang’s wedding party,FAKE
3660,This bottle of disinfectant gel prooves that the coronavirus SARS-CoV-2 existed before 2019,This bottle of disinfectant gel prooves that the coronavirus SARS-CoV-2 existed before 2019,FAKE
3662,Video showing quarantined people in a building in Shanghai,Video showing quarantined people in a building in Shanghai,FAKE
3663,Thailnd cures CoV with anti-HIV drugs,Thailnd cures CoV with anti-HIV drugs,FAKE
3668,"Video showing Massive Explosion in Wuhan, China to control the spread of coronavirus","Video showing Massive Explosion in Wuhan, China to control the spread of coronavirus",FAKE
3672,This Burned Building Is a Place of Corona Virus Patient Isolation,This Burned Building Is a Place of Corona Virus Patient Isolation,FAKE
3677,"Upon approval from Supreme People’s Court, China will kill 20,000 patients with novel coronavirus","Upon approval from Supreme People’s Court, China will kill 20,000 patients with novel coronavirus",FAKE
3678,"This is map “based on traces of Wuhan citizens”,during the period between the outbreak of the new coronavirus and the blockade of Wuhan","This is map “based on traces of Wuhan citizens”,during the period between the outbreak of the new coronavirus and the blockade of Wuhan",FAKE
3688,WHO declared COVID-19 to be the abbreviation for China Outbreak Virus In December 19,WHO declared COVID-19 to be the abbreviation for China Outbreak Virus In December 19,FAKE
3692,This photo is a “chinese tapa”¨from a bat,This photo is a “chinese tapa”¨from a bat,FAKE
3693,The Windy diagram of sulfur dioxyde emission level over Wuhan indicated massive corpses burning down there,The Windy diagram of sulfur dioxyde emission level over Wuhan indicated massive corpses burning down there,FAKE
3702,There is a Cuban drug used in China against the coronavirus,There is a Cuban drug used in China against the coronavirus,FAKE
3703,"The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus","The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus",FAKE
3709,USPS stops accepting items for China and HK,USPS stops accepting items for China and HK,FAKE
3716,"Will the coronavirus epidemic disappear in April thanks to the heat, as Donald Trump said","Will the coronavirus epidemic disappear in April thanks to the heat, as Donald Trump said",FAKE
3719,Vitamin C and Omega prevents coronavirus,Vitamin C and Omega prevents coronavirus,FAKE
3725,"The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C","The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C",FAKE
3730,Was Corona Antivirus Discovered by Israeli and Chinese Doctors,Was Corona Antivirus Discovered by Israeli and Chinese Doctors,FAKE
3737,"Videos stating that 25,000 Chinese are being killed","Videos stating that 25,000 Chinese are being killed",FAKE
3749,Video shows coronavirus patients and doctors,Video shows coronavirus patients and doctors,FAKE
3753,This photo shows a new case in New South Wales,This photo shows a new case in New South Wales,FAKE
3768,The people in this video show the coronavirus patients in China,The people in this video show the coronavirus patients in China,FAKE
3774,The Department of Health (DOH) and the Bureau of Immigration (BI) “issued a lookout bulletin” for the “arrest and detention” of a Chinese man who “escaped the quarantine area” of the Ninoy Aquino International Airport (NAIA),The Department of Health (DOH) and the Bureau of Immigration (BI) “issued a lookout bulletin” for the “arrest and detention” of a Chinese man who “escaped the quarantine area” of the Ninoy Aquino International Airport (NAIA),FAKE
3775,This Lysol disinfactant label says it’s tested against the new cov,This Lysol disinfactant label says it’s tested against the new cov,FAKE
3784,Thai department of health published an infography on how to properly wear facemasks,Thai department of health published an infography on how to properly wear facemasks,FAKE
3785,This video shows the cause of cov,This video shows the cause of cov,FAKE
3786,This video shows cov patients in China,This video shows cov patients in China,FAKE
3787,The Asterix comic books and the Simpsons predicted the coronavirus outbreak,The Asterix comic books and the Simpsons predicted the coronavirus outbreak,FAKE
3789,"The coronavirus has already existed, even in domestic animals, and we have the vaccine to act against this virus","The coronavirus has already existed, even in domestic animals, and we have the vaccine to act against this virus",FAKE
3790,Taking chlorine dioxide helps against coronavirus,Taking chlorine dioxide helps against coronavirus,FAKE
3793,There is a patent for the 2019-nCoV coronavirus,There is a patent for the 2019-nCoV coronavirus,FAKE
3795,"WHO announced that among many medicines, the best coronavirus killer is nicotine","WHO announced that among many medicines, the best coronavirus killer is nicotine",FAKE
3798,Vietnam government gave free face masks on the streets,Vietnam government gave free face masks on the streets,FAKE
3801,Weed (cannabis) cures coronavirus,Weed (cannabis) cures coronavirus,FAKE
3806,The Dettol disinfectant label says the cov was tested,The Dettol disinfectant label says the cov was tested,FAKE
3808,Xi Jinping visits mosque for coronavirus,Xi Jinping visits mosque for coronavirus,FAKE
3814,Vitamin C stops or slows novel coronavirus,Vitamin C stops or slows novel coronavirus,FAKE
3817,Ultimo (italian singer) has coronavirus,Ultimo (italian singer) has coronavirus,FAKE
3818,Woman eats bat soup contaminated with coronavirus in China,Woman eats bat soup contaminated with coronavirus in China,FAKE
3821,WHO Calls for Isolation of China due to the Corona Virus,WHO Calls for Isolation of China due to the Corona Virus,FAKE
3822,Video shows an infected baby with a doctor,Video shows an infected baby with a doctor,FAKE
3825,You can’t transmit the virus to other people if you don’t feel its symptoms,You can’t transmit the virus to other people if you don’t feel its symptoms,FAKE
3827,Tinospira crispa plants can treat cov,Tinospira crispa plants can treat cov,FAKE
3830,This is a market in China where bats and snakes were served as food,This is a market in China where bats and snakes were served as food,FAKE
3849,"When the first group of Japenese evacuated from Wuhan to Tokyo, each evacuee took one own ambulance","When the first group of Japenese evacuated from Wuhan to Tokyo, each evacuee took one own ambulance",FAKE
3850,There are 40 thousand Chinese foreign workers in Morowali that are quarantined with Corona Virus,There are 40 thousand Chinese foreign workers in Morowali that are quarantined with Corona Virus,FAKE
3852,"Weed, slang for the cannabis plant, can “kill coronavirus.”","Weed, slang for the cannabis plant, can “kill coronavirus.”",FAKE
3855,This photo shows a Japanese medical professional going to provide aid in Wuhan,This photo shows a Japanese medical professional going to provide aid in Wuhan,FAKE
3858,You can steam face masks to reuse them,You can steam face masks to reuse them,FAKE
3859,The Chinese Prime minister visited a mosque to gain protection for coronavirus,The Chinese Prime minister visited a mosque to gain protection for coronavirus,FAKE
3864,Video shows pigs buried alive,Video shows pigs buried alive,FAKE
3869,Video of a family died due to novel coronavirus,Video of a family died due to novel coronavirus,FAKE
3870,Video of Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from coronavirus,Video of Chinese Prime Minister Li Keqiang visiting a Mosque and offering prayers seeking protection to the country from coronavirus,FAKE
3871,Video from China show people fleeing from coronavirus quarantine,Video from China show people fleeing from coronavirus quarantine,FAKE
3875,Video shows bat infestation under a tiled roof claims to be the source of coronavirus in China’s Hubei,Video shows bat infestation under a tiled roof claims to be the source of coronavirus in China’s Hubei,FAKE
3876,There is a person with coronavirus in Galicia (February 4th),There is a person with coronavirus in Galicia (February 4th),FAKE
3877,There is a person with coronavirus in Huelva (February 4th),There is a person with coronavirus in Huelva (February 4th),FAKE
3886,The claim that a photo shows the infected people in China,The claim that a photo shows the infected people in China,FAKE
3891,This image is related to the coronavirus outbreak,This image is related to the coronavirus outbreak,FAKE
3892,The novel coronavirus (2019-nCoV) “will not spread” in the Philippines due to the country’s high temperature as well as relatively high humidity,The novel coronavirus (2019-nCoV) “will not spread” in the Philippines due to the country’s high temperature as well as relatively high humidity,FAKE
3895,There is an herbal cure for CoV,There is an herbal cure for CoV,FAKE
3898,The common flu kills 60 times more people annually than the coronavirus,The common flu kills 60 times more people annually than the coronavirus,FAKE
3900,Twitter user posts viral image suggesting that cocaine kills coronavirus,Twitter user posts viral image suggesting that cocaine kills coronavirus,FAKE
3901,Two Italian scientists were the first in isolate the coronavirus in Europe,Two Italian scientists were the first in isolate the coronavirus in Europe,FAKE
3902,There are cases of coronavirus in Maturín city,There are cases of coronavirus in Maturín city,FAKE
3905,The new coronavirus contains HIV “insertions” and shows signs of being created in a lab,The new coronavirus contains HIV “insertions” and shows signs of being created in a lab,FAKE
3906,The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water,The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water,FAKE
3909,Xi Jinping has said that Chinese scientists found cure for coronavirus in cow urine,Xi Jinping has said that Chinese scientists found cure for coronavirus in cow urine,FAKE
3910,The Korean Government took every facial mask from factorys to send masks to China,The Korean Government took every facial mask from factorys to send masks to China,FAKE
3918,Video shows a doctor that faints while operating coronavirus because he got infected,Video shows a doctor that faints while operating coronavirus because he got infected,FAKE
3922,This is an image of coronavirus 2019-nCoV,This is an image of coronavirus 2019-nCoV,FAKE
3927,The video has been taken at the Wuhan market,The video has been taken at the Wuhan market,FAKE
3931,The religious beliefs of some Macedonian citizens are being used to disseminate panic and misinformation about the new coronavirus by manipulatively citing Russian texts for its outbreak in order to portray it as the beginning of a worldwide catastrophe,The religious beliefs of some Macedonian citizens are being used to disseminate panic and misinformation about the new coronavirus by manipulatively citing Russian texts for its outbreak in order to portray it as the beginning of a worldwide catastrophe,FAKE
3935,"This is Leslie Chow, a doctor who died in China fighting coronavirus","This is Leslie Chow, a doctor who died in China fighting coronavirus",FAKE
3937,"WHO confirmed 50 new cases in Guayaquil, in Ecuador","WHO confirmed 50 new cases in Guayaquil, in Ecuador",FAKE
3945,U.S. soldier stationed in Lithuania is the first confirmed case of coronavirus in the country,U.S. soldier stationed in Lithuania is the first confirmed case of coronavirus in the country,FAKE
3949,The Taiwanese flag is printed on masks to prevent Chinese from buying up,The Taiwanese flag is printed on masks to prevent Chinese from buying up,FAKE
3951,The Chinese foreign Ministry officially demanded an explanation from the United States due to the fact that containers with biohazard markings were found buried in the evacuated Consulate General in the city of Wuhan,The Chinese foreign Ministry officially demanded an explanation from the United States due to the fact that containers with biohazard markings were found buried in the evacuated Consulate General in the city of Wuhan,FAKE
3959,"There are 5 Corona Virus Suspect Patients in Indonesia, one of whom died","There are 5 Corona Virus Suspect Patients in Indonesia, one of whom died",FAKE
3962,Video shows a doctor falling down due to coronavirus disease,Video shows a doctor falling down due to coronavirus disease,FAKE
3964,The coronavirus responsible of COVID-19 is a mix of SRAS and HIV,The coronavirus responsible of COVID-19 is a mix of SRAS and HIV,FAKE
3968,This is a new hospital in Wuhan,This is a new hospital in Wuhan,FAKE
3971,"The coronavirus is a “virus weapon”, as lethal as Ebola. Everyone who is infected dies","The coronavirus is a “virus weapon”, as lethal as Ebola. Everyone who is infected dies",FAKE
3978,The first building of the Huoshenshan hospital in Wuhan city was build in 5 days,The first building of the Huoshenshan hospital in Wuhan city was build in 5 days,FAKE
3981,"Video Of An Indonesian Traditional Market Trending Viral As Wuhan, China","Video Of An Indonesian Traditional Market Trending Viral As Wuhan, China",FAKE
3985,"The coronavirus was called a “plague” by the WHO, and that 2.9 million were infected while 950,680 people had died","The coronavirus was called a “plague” by the WHO, and that 2.9 million were infected while 950,680 people had died",FAKE
3986,The Lysol and coronavirus conspiracy: “2019-nCoV is old and there is already a cure to it”,The Lysol and coronavirus conspiracy: “2019-nCoV is old and there is already a cure to it”,FAKE
3988,"Video shows a market in the Chinese city of Wuhan, where the deadly coronavirus strain emerged","Video shows a market in the Chinese city of Wuhan, where the deadly coronavirus strain emerged",FAKE
4003,The “proper” way of wearing a surgical mask is blue side out if you are sick and white side out if you do not want to be infected by the virus,The “proper” way of wearing a surgical mask is blue side out if you are sick and white side out if you do not want to be infected by the virus,FAKE
4007,The quarantine in Italy showed more clean waters in Venice with fishes and a dolphin,The quarantine in Italy showed more clean waters in Venice with fishes and a dolphin,FAKE
